"confl","SELS_mx","nrSELS","pavedkm","unpavedkm","PA_dist","vieh_sum","cattle_sum","pop_sum","set_num","set_area","MB_woody","MB_nat","MB_agri","livestock"
0,"C1",1,34.35,151.65,156.29,11697.9180908203,106003.630371094,731.579169998411,0,1.32,0.22,643.94,771.54,117701.548461914
0,"B",2,88.02,153.59,0,1534.19368362427,2659.64517211914,4690.26345788594,4,3.33,542.92,343.82,129.23,4193.83885574341
0,"C1",2,0,60.21,77.78,1720.28308868408,25409.7932128906,654.946921358351,0,0.63,258.39,46.02,1107.13,27130.0763015747
0,"A4",2,0,213.39,15.05,9260.43228149414,90.5981242656708,57.6343055898324,0,0.34,0,1331.66,14.29,9351.03040575981
0,"B",3,22.54,34.24,36.73,3596.42012786865,18013.9642333984,9751.47728895582,13,7.77,1099.57,242.21,63.26,21610.384361267
0,"C1",1,81.83,312.6,24.71,12318.0960693359,138953.990234375,15377.9167494862,4,9.72,7.59,339.96,1043.54,151272.086303711
0,"A3",2,0,360.39,45.49,4889.76762390137,37990.8553466797,243.632933597313,1,0.7,398.32,454.35,560.11,42880.6229705811
0,"A3",2,134.02,408.74,0,12714.4730834961,1262.89376068115,28728.187777631,1,7.71,45.24,760.16,137.04,13977.3668441772
0,"C1",1,0,260.91,0,1387.68897247314,90897.5483398438,1485.75284697488,4,1.61,445.85,334.5,592.66,92285.2373123169
0,"B",2,0,450.41,6.9,22.5179871320724,11.4052734375,4608.26654540701,3,2.25,245.88,373.14,85.38,33.9232605695724
0,"A2",2,0,59.7,29.3,503.177639007568,44.6215960234404,1139.56385700405,1,0.43,691.82,589.76,48.26,547.799235031008
0,"A3",2,0,278.2,52.92,4432.53185272217,34498.837890625,179.147833933588,0,0.34,356.89,524.7,532.64,38931.3697433472
0,"A4",2,51.04,159.05,22.7,4068.27267456055,28943.8803710938,48.1452223896049,0,0.29,74.18,1337.64,2.62,33012.1530456543
0,"B",1,45.24,234.85,79.08,1720.06761169434,1255.25341680646,1947.66826582653,3,0.86,590.79,795.05,19.18,2975.3210285008
0,"A3",1,19.98,34.72,46.72,9848.56811523438,30.1948738098145,83.587618753314,0,0.34,2.23,1233.36,37.08,9878.7629890442
0,"B",2,0,52.97,0,11373.5004577637,1405.95935821533,1082.41370224254,4,0.95,522.11,698.47,28.42,12779.459815979
0,"A3",1,0,31.59,135.51,43578.2727050781,1061.79302978516,55.6698248367757,0,0.45,16.66,1286.58,48.47,44640.0657348633
0,"C1",2,78.54,233.25,0,12757.5805053711,69575.6823730469,5495.8537547919,4,3.81,10.06,510.54,854.46,82333.262878418
0,"A3",1,119.05,520.59,90.9,1046.35384368896,31198.0161132812,2770.13058213145,1,1.76,277.13,950.63,186.51,32244.3699569702
0,"A4",2,30.45,436.35,23.83,2099.72950744629,11540.8486480713,15.1533765220083,0,0.15,178.93,1112.65,9.53,13640.5781555176
0,"C1",1,61.21,242.29,93.29,2856.32467651367,35764.2221679688,6223.0386731769,4,5.32,52.66,346.26,999.65,38620.5468444825
0,"C2",3,33.79,27.57,0,2008.36715698242,13411.4267272949,975.629203382414,1,2.16,1324.88,41.98,7.1,15419.7938842773
0,"C1",1,0,108.47,0,4521.08877563477,47127.9956054688,2185.38855320215,0,0.41,469.43,864.83,71.47,51649.0843811036
0,"A2",2,27.3,183.28,0,28707.2265625,2350.37899780273,19.079659095034,0,0,70.1,352.81,73.64,31057.6055603027
0,"A3",1,18.85,227.91,31.62,18773.0845947266,122.934390068054,23.1956647946499,0,0,0.31,883.55,109.01,18896.0189847947
0,"A4",2,0,62.01,0,7408.11108398438,1278.13459777832,130.658088603057,0,0.07,3.8,1386.43,9.56,8686.2456817627
0,"A3",2,12.8,129.85,19.58,3753.01908874512,4382.24429321289,58.9973969068378,0,0,1376.68,35.96,1.37,8135.26338195801
0,"C1",1,129.25,356.01,75.73,2729.25758361816,35001.9711914062,1492.31720916578,1,1.51,35.57,370.35,992.82,37731.2287750244
0,"A4",1,0,72.8,0,13466.2127990723,2774.60542678833,136.614765632898,0,0.15,311.99,1075.78,9.56,16240.8182258606
0,"B",2,73.28,350.05,0,1541.10540771484,342.435377120972,134.447577629238,1,0.51,1183.34,159.01,20.12,1883.54078483581
0,"C1",2,0,103.25,0,14616.4718017578,1363.58360671997,674.581884129671,0,2.94,0.41,448.42,18.75,15980.0554084778
0,"A3",1,68.73,169.91,0,39578.6088867188,663.476329803467,16.860713744536,0,0.06,45.33,1065.41,3.29,40242.0852165223
0,"C1",2,0,115.54,0.48,3963.65060424805,46999.4245605469,1579.33764831722,1,0.63,827.78,579.86,2.06,50963.0751647949
0,"E2",2,57.78,324.22,0,10401.6461009979,4014.2486448288,1426.44052548707,1,0.13,1297.96,56.13,10.17,14415.8947458267
0,"C2",2,32.96,43,48.69,10305.8693847656,22051.819519043,1138.52409335412,0,0.59,679.8,195.23,523.9,32357.6889038086
0,"C1",1,23.65,261.06,26.67,2659.33519744873,29756.4583740234,10400.4971561558,5,6.38,57.44,85.97,1255.52,32415.7935714721
0,"A3",1,139.07,384.69,120.81,20894.2249755859,181.788119316101,62.9928898401558,0,0,207.13,1088.75,32.95,21076.013094902
0,"A4",1,79.77,911.38,19.19,1974.5219039917,13229.9606323242,60.7121743671596,0,0.28,292.79,1121.56,1.41,15204.4825363159
0,"A3",1,38.65,116.74,41.33,10162.2604064941,747.113201141357,19.095311476849,0,0,42.26,1175.65,47.41,10909.3736076355
0,"C1",1,80.83,370.94,0,2547.98832702637,52952.1667480469,2294.64114199392,1,1.79,389.97,837.2,99.08,55500.1550750733
0,"C1",1,0,495.49,41.85,10688.7083435059,66648.7470703125,833.057186550926,1,0.46,634.07,722.92,56.51,77337.4554138184
0,"A3",3,70.36,364.02,0,5609.86003875732,9257.03039550781,386.418831198243,1,1.34,1281.04,27.09,7.58,14866.8904342651
0,"A4",2,10.74,62.57,0,12867.8623352051,5490.10966873169,149.134218643885,0,0.08,1175.87,63.33,24.57,18357.9720039368
0,"B",3,67.86,31.26,0,10714.7727050781,1470.23781585693,976.289508142509,4,1.06,542.29,399.27,29.47,12185.010520935
